Date,Centre_Name,Commodity_Name,Price
01-01-19,CHANDIGARH,Wheat,
01-01-19,DELHI,Wheat,1140.0
01-01-19,SHIMLA,Wheat,
01-01-19,SRINAGAR,Wheat,
01-01-19,JAMMU,Wheat,
01-01-19,AMRITSAR,Wheat,1000.0
01-01-19,LUDHIANA,Wheat,1100.0
01-01-19,LUCKNOW,Wheat,
01-01-19,DEHRADUN,Wheat,
01-01-19,RAIPUR,Wheat,
01-01-19,AHMEDABAD,Wheat,
01-01-19,BHOPAL,Wheat,1050.0
01-01-19,MUMBAI,Wheat,
01-01-19,JAIPUR,Wheat,1200.0
01-01-19,PATNA,Wheat,
01-01-19,RANCHI,Wheat,
01-01-19,BHUBANESHWAR,Wheat,1220.0
01-01-19,KOLKATA,Wheat,
01-01-19,GUWAHATI,Wheat,
01-01-19,SHILLONG,Wheat,
01-01-19,AIZWAL,Wheat,
01-01-19,KOHIMA,Wheat,
01-01-19,AGARTALA,Wheat,
01-01-19,BENGALURU,Wheat,1500.0
01-01-19,T.PURAM,Wheat,
01-01-19,CHENNAI,Wheat,
01-01-19,HYDERABAD,Wheat,
02-01-19,CHANDIGARH,Wheat,
02-01-19,DELHI,Wheat,
02-01-19,SHIMLA,Wheat,
02-01-19,SRINAGAR,Wheat,
02-01-19,JAMMU,Wheat,
02-01-19,AMRITSAR,Wheat,1000.0
02-01-19,LUDHIANA,Wheat,1100.0
02-01-19,LUCKNOW,Wheat,
02-01-19,DEHRADUN,Wheat,
02-01-19,RAIPUR,Wheat,
02-01-19,AHMEDABAD,Wheat,
02-01-19,BHOPAL,Wheat,
02-01-19,MUMBAI,Wheat,
02-01-19,JAIPUR,Wheat,1200.0
02-01-19,PATNA,Wheat,
02-01-19,RANCHI,Wheat,
02-01-19,BHUBANESHWAR,Wheat,1220.0
02-01-19,KOLKATA,Wheat,
02-01-19,GUWAHATI,Wheat,
02-01-19,SHILLONG,Wheat,
02-01-19,AIZWAL,Wheat,
02-01-19,KOHIMA,Wheat,
02-01-19,AGARTALA,Wheat,
02-01-19,BENGALURU,Wheat,1500.0
02-01-19,T.PURAM,Wheat,
02-01-19,CHENNAI,Wheat,1540.0
02-01-19,HYDERABAD,Wheat,
05-01-19,CHANDIGARH,Wheat,
05-01-19,DELHI,Wheat,1140.0
05-01-19,SHIMLA,Wheat,
05-01-19,SRINAGAR,Wheat,
05-01-19,JAMMU,Wheat,
05-01-19,AMRITSAR,Wheat,1000.0
05-01-19,LUDHIANA,Wheat,1100.0
05-01-19,LUCKNOW,Wheat,
05-01-19,DEHRADUN,Wheat,
05-01-19,RAIPUR,Wheat,
05-01-19,AHMEDABAD,Wheat,
05-01-19,BHOPAL,Wheat,
05-01-19,MUMBAI,Wheat,
05-01-19,JAIPUR,Wheat,
05-01-19,PATNA,Wheat,
05-01-19,RANCHI,Wheat,
05-01-19,BHUBANESHWAR,Wheat,1220.0
05-01-19,KOLKATA,Wheat,
05-01-19,GUWAHATI,Wheat,
05-01-19,SHILLONG,Wheat,
05-01-19,AIZWAL,Wheat,
05-01-19,KOHIMA,Wheat,
05-01-19,AGARTALA,Wheat,
05-01-19,BENGALURU,Wheat,
05-01-19,T.PURAM,Wheat,
05-01-19,CHENNAI,Wheat,1540.0
05-01-19,HYDERABAD,Wheat,
06-01-19,CHANDIGARH,Wheat,
06-01-19,DELHI,Wheat,1140.0
06-01-19,SHIMLA,Wheat,
06-01-19,SRINAGAR,Wheat,
06-01-19,JAMMU,Wheat,
06-01-19,AMRITSAR,Wheat,1000.0
06-01-19,LUDHIANA,Wheat,1100.0
06-01-19,LUCKNOW,Wheat,
06-01-19,DEHRADUN,Wheat,
06-01-19,RAIPUR,Wheat,
06-01-19,AHMEDABAD,Wheat,
06-01-19,BHOPAL,Wheat,
06-01-19,MUMBAI,Wheat,
06-01-19,JAIPUR,Wheat,
06-01-19,PATNA,Wheat,
06-01-19,RANCHI,Wheat,
06-01-19,BHUBANESHWAR,Wheat,1220.0
06-01-19,KOLKATA,Wheat,
06-01-19,GUWAHATI,Wheat,
06-01-19,SHILLONG,Wheat,
06-01-19,AIZWAL,Wheat,
06-01-19,KOHIMA,Wheat,
06-01-19,AGARTALA,Wheat,
06-01-19,BENGALURU,Wheat,1600.0
06-01-19,T.PURAM,Wheat,
06-01-19,CHENNAI,Wheat,1540.0
06-01-19,HYDERABAD,Wheat,
07-01-19,CHANDIGARH,Wheat,
07-01-19,DELHI,Wheat,1140.0
07-01-19,SHIMLA,Wheat,
07-01-19,SRINAGAR,Wheat,
07-01-19,JAMMU,Wheat,
07-01-19,AMRITSAR,Wheat,1000.0
07-01-19,LUDHIANA,Wheat,1100.0
07-01-19,LUCKNOW,Wheat,
07-01-19,DEHRADUN,Wheat,
07-01-19,RAIPUR,Wheat,
07-01-19,AHMEDABAD,Wheat,
07-01-19,BHOPAL,Wheat,
07-01-19,MUMBAI,Wheat,
07-01-19,JAIPUR,Wheat,
07-01-19,PATNA,Wheat,
07-01-19,RANCHI,Wheat,
07-01-19,BHUBANESHWAR,Wheat,1220.0
07-01-19,KOLKATA,Wheat,
07-01-19,GUWAHATI,Wheat,
07-01-19,SHILLONG,Wheat,
07-01-19,AIZWAL,Wheat,
07-01-19,KOHIMA,Wheat,
07-01-19,AGARTALA,Wheat,
07-01-19,BENGALURU,Wheat,
07-01-19,T.PURAM,Wheat,
07-01-19,CHENNAI,Wheat,1540.0
07-01-19,HYDERABAD,Wheat,
09-01-19,CHANDIGARH,Wheat,
09-01-19,DELHI,Wheat,1140.0
09-01-19,SHIMLA,Wheat,
09-01-19,SRINAGAR,Wheat,
09-01-19,JAMMU,Wheat,
09-01-19,AMRITSAR,Wheat,
09-01-19,LUDHIANA,Wheat,
09-01-19,LUCKNOW,Wheat,
09-01-19,DEHRADUN,Wheat,
09-01-19,RAIPUR,Wheat,
09-01-19,AHMEDABAD,Wheat,
09-01-19,BHOPAL,Wheat,
09-01-19,MUMBAI,Wheat,
09-01-19,JAIPUR,Wheat,
09-01-19,PATNA,Wheat,
09-01-19,RANCHI,Wheat,
09-01-19,BHUBANESHWAR,Wheat,1220.0
09-01-19,KOLKATA,Wheat,
09-01-19,GUWAHATI,Wheat,
09-01-19,SHILLONG,Wheat,
09-01-19,AIZWAL,Wheat,
09-01-19,KOHIMA,Wheat,
09-01-19,AGARTALA,Wheat,
09-01-19,BENGALURU,Wheat,1700.0
09-01-19,T.PURAM,Wheat,
09-01-19,CHENNAI,Wheat,1540.0
09-01-19,HYDERABAD,Wheat,
12-01-19,CHANDIGARH,Wheat,
12-01-19,DELHI,Wheat,1140.0
12-01-19,SHIMLA,Wheat,
12-01-19,SRINAGAR,Wheat,
12-01-19,JAMMU,Wheat,
12-01-19,AMRITSAR,Wheat,
12-01-19,LUDHIANA,Wheat,
12-01-19,LUCKNOW,Wheat,
